query,clicks,impressions,ctr,position,clicks_prev,impressions_prev,ctr_prev,position_prev,clicks_delta,clicks_pct,impressions_delta,impressions_pct,ctr_delta,ctr_pct,position_delta,position_pct
bangkok to koh samet,0.0,2.0,0.0,47.0,0.0,5.0,0.0,47.8,0.0,,-3.0,-0.6,0.0,,-0.7999999999999972,-0.01673640167364011
booking com,0.0,2.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,,-2.0,-0.5,0.0,,-4.0,-0.6666666666666666
booking.com 安全,0.0,2.0,0.0,3.0,,,,,0.0,,2.0,,0.0,,3.0,
calypso bangkok,0.0,2.0,0.0,43.5,0.0,1.0,0.0,41.0,0.0,,1.0,1.0,0.0,,2.5,0.06097560975609756
contemporary art museum sydney cafe,0.0,2.0,0.0,21.0,,,,,0.0,,2.0,,0.0,,21.0,
getting to koh samet,0.0,2.0,0.0,62.5,,,,,0.0,,2.0,,0.0,,62.5,
google リスティング 広告,0.0,2.0,0.0,93.0,0.0,2.0,0.0,92.0,0.0,,0.0,0.0,0.0,,1.0,0.010869565217391304
javascript seo,0.0,2.0,0.0,52.5,0.0,2.0,0.0,42.0,0.0,,0.0,0.0,0.0,,10.5,0.25
khao san bangkok,0.0,2.0,0.0,71.0,,,,,0.0,,2.0,,0.0,,71.0,
khao san road map,0.0,2.0,0.0,73.5,0.0,1.0,0.0,44.0,0.0,,1.0,1.0,0.0,,29.5,0.6704545454545454
koh samet from bangkok,0.0,2.0,0.0,53.5,0.0,2.0,0.0,65.0,0.0,,0.0,0.0,0.0,,-11.5,-0.17692307692307693
mca cafe,0.0,2.0,0.0,30.0,,,,,0.0,,2.0,,0.0,,30.0,
sapporo beer brewery,0.0,2.0,0.0,62.0,0.0,2.0,0.0,55.0,0.0,,0.0,0.0,0.0,,7.0,0.12727272727272726
sapporo beer factory hokkaido,0.0,2.0,0.0,47.5,,,,,0.0,,2.0,,0.0,,47.5,
sapporo brewery japan,0.0,2.0,0.0,68.0,,,,,0.0,,2.0,,0.0,,68.0,
seo 効果 エッジレンダリング,0.0,2.0,0.0,26.5,0.0,1.0,0.0,30.0,0.0,,1.0,1.0,0.0,,-3.5,-0.11666666666666667
souvenirs sydney,0.0,2.0,0.0,56.5,,,,,0.0,,2.0,,0.0,,56.5,
thailand khao san road,0.0,2.0,0.0,64.0,,,,,0.0,,2.0,,0.0,,64.0,
tottori sand dunes,0.0,2.0,0.0,61.0,0.0,1.0,0.0,70.0,0.0,,1.0,1.0,0.0,,-9.0,-0.12857142857142856
tottori sand dunes in japan,0.0,2.0,0.0,63.0,,,,,0.0,,2.0,,0.0,,63.0,
tottori sand dunes japan,0.0,2.0,0.0,60.0,,,,,0.0,,2.0,,0.0,,60.0,
where to buy souvenirs in sydney,0.0,2.0,0.0,35.5,,,,,0.0,,2.0,,0.0,,35.5,
アフィリエイト ペラサイト 例,0.0,2.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,,0.0,0.0,0.0,,-2.0,-0.2857142857142857
インドネシア atm キャッシング,0.0,2.0,0.0,11.0,,,,,0.0,,2.0,,0.0,,11.0,
オカダマニラ カジノ,0.0,2.0,0.0,24.5,1.0,6.0,0.16666666666666666,26.833333333333332,-1.0,-1.0,-4.0,-0.6666666666666666,-0.16666666666666666,-1.0,-2.333333333333332,-0.08695652173913039
オカダマニラ カジノ ドレスコード,0.0,2.0,0.0,8.0,,,,,0.0,,2.0,,0.0,,8.0,
オカダマニラ プール 宿泊者 以外,0.0,2.0,0.0,9.0,0.0,2.0,0.0,10.0,0.0,,0.0,0.0,0.0,,-1.0,-0.1
カオサン 通り,0.0,2.0,0.0,37.5,,,,,0.0,,2.0,,0.0,,37.5,
カオサン通り エロ,0.0,2.0,0.0,2.5,,,,,0.0,,2.0,,0.0,,2.5,
カオサン通り エロマッサージ,0.0,2.0,0.0,15.0,,,,,0.0,,2.0,,0.0,,15.0,
カニバリゼーション seo,0.0,2.0,0.0,83.0,0.0,1.0,0.0,86.0,0.0,,1.0,1.0,0.0,,-3.0,-0.03488372093023256
クラウドワークス 自己紹介 実績 ない,0.0,2.0,0.0,11.0,0.0,8.0,0.0,9.125,0.0,,-6.0,-0.75,0.0,,1.875,0.2054794520547945
ゴーゴーバー 遊び方,0.0,2.0,0.0,5.0,0.0,1.0,0.0,9.0,0.0,,1.0,1.0,0.0,,-4.0,-0.4444444444444444
シドニー お土産,0.0,2.0,0.0,44.0,0.0,5.0,0.0,26.4,0.0,,-3.0,-0.6,0.0,,17.6,0.6666666666666667
シドニー 土産,0.0,2.0,0.0,50.5,,,,,0.0,,2.0,,0.0,,50.5,
シドニー 空港 お 土産,0.0,2.0,0.0,13.0,,,,,0.0,,2.0,,0.0,,13.0,
2等陸曹 英語,0.0,1.0,0.0,2.0,,,,,0.0,,1.0,,0.0,,2.0,
47都道府県 旅行,0.0,1.0,0.0,17.0,,,,,0.0,,1.0,,0.0,,17.0,
47都道府県 旅行 記録,0.0,1.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0,,0.0,0.0,0.0,,0.0,0.0
application for extension of temporary stay in the kingdom,0.0,1.0,0.0,78.0,,,,,0.0,,1.0,,0.0,,78.0,
bangkok khao san road map,0.0,1.0,0.0,68.0,0.0,1.0,0.0,46.0,0.0,,0.0,0.0,0.0,,22.0,0.4782608695652174
bangkok khao san road nightlife,0.0,1.0,0.0,39.0,,,,,0.0,,1.0,,0.0,,39.0,
bangkok koh samet,0.0,1.0,0.0,60.0,0.0,1.0,0.0,75.0,0.0,,0.0,0.0,0.0,,-15.0,-0.2
bangkok koh samet transportation,0.0,1.0,0.0,58.0,,,,,0.0,,1.0,,0.0,,58.0,
bangkok to ko samet,0.0,1.0,0.0,66.0,0.0,1.0,0.0,63.0,0.0,,0.0,0.0,0.0,,3.0,0.047619047619047616
best souvenir shops sydney,0.0,1.0,0.0,35.0,,,,,0.0,,1.0,,0.0,,35.0,
booking com 安全,0.0,1.0,0.0,3.0,,,,,0.0,,1.0,,0.0,,3.0,
